Adelfia comune,Adelfia comune.1
,
"Adelfia – VedutaAdelfia (rione Montrone) nel 2024, durante la festa patronale di San Trifone","Adelfia – VedutaAdelfia (rione Montrone) nel 2024, durante la festa patronale di San Trifone"
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Giuseppe Cosola (lista civica) dal 20-6-2016 (2º mandato dal 11-10-2021)
Data di istituzione,8 novembre 1927
Territorio,Territorio
Coordinate,41°00′N 16°52′E
Altitudine,154 m s.l.m.
Superficie,"33,81 km²"
Abitanti,16 365[1] (30-11-2025)
Densità,"484,03 ab./km²"
Comuni confinanti,"Acquaviva delle Fonti, Bari, Bitritto, Casamassima, Sannicandro di Bari, Valenzano"
Altre informazioni,Altre informazioni
Cod. postale,70010
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072002
Cod. catastale,A055
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 402 GG[3]"
Nome abitanti,adelfiesi
Patrono,San Trifone (Montrone) San Vittoriano (Canneto) Madonna della Pietà (Montrone) Madonna della Stella (Canneto)
Giorno festivo,10 novembre (san Trifone) Ultima domenica di luglio (san Vittoriano) Prima domenica di settembre (Madonna della Pietà) Lunedì dell'Angelo (Madonna della Stella)
Cartografia,Cartografia
Adelfia,Adelfia
Adelfia – MappaPosizione del comune di Adelfia nella città metropolitana di Bari,Adelfia – MappaPosizione del comune di Adelfia nella città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
