Putignano comune,Putignano comune.1
,
Putignano – VedutaPiazza Plebiscito di notte,Putignano – VedutaPiazza Plebiscito di notte
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Michele Vinella (liste civiche di centro-sinistra) dal 24-6-2024
Territorio,Territorio
Coordinate,40°50′57.22″N 17°07′21.16″E
Altitudine,372[1] m s.l.m.
Superficie,"100,16 km²"
Abitanti,25 709[2] (30-11-2025)
Densità,"256,68 ab./km²"
Frazioni,"Bacano, Chiancarosa, Gorgo di Mola, Marchione, Parco Grande, San Michele, San Michele in Monte Laureto, San Pietro Piturno"
Comuni confinanti,"Castellana Grotte, Conversano, Gioia del Colle, Noci, Turi"
Altre informazioni,Altre informazioni
Cod. postale,70017
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072036
Cod. catastale,H096
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 716 GG[4]"
Nome abitanti,putignanesi
Patrono,"Santo Stefano, San Giovanni Battista, Maria SS. Addolorata"
Giorno festivo,3 agosto
Cartografia,Cartografia
Putignano,Putignano
Putignano – MappaPosizione del comune di Putignano all'interno della città metropolitana di Bari,Putignano – MappaPosizione del comune di Putignano all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
