Mola di Bari comune,Mola di Bari comune.1
,
Mola di Bari – VedutaPiazza XX Settembre e chiesa di S. Maria Maddalena,Mola di Bari – VedutaPiazza XX Settembre e chiesa di S. Maria Maddalena
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Giuseppe Colonna (centro-sinistra) dal 25-6-2018 (2º mandato dal 29-5-2023)
Data di istituzione,17 marzo 1861
Territorio,Territorio
Coordinate,41°04′N 17°05′E
Altitudine,15 m s.l.m.
Superficie,"50,94 km²"
Abitanti,24 130[1] (30-11-2025)
Densità,"473,69 ab./km²"
Frazioni,"Cozze, San Materno"
Comuni confinanti,"Bari, Conversano, Noicattaro, Polignano a Mare, Rutigliano"
Altre informazioni,Altre informazioni
Cod. postale,70042
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072028
Cod. catastale,F280
Targa,BA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 187 GG[3]"
Nome abitanti,molesi
Patrono,"Maria SS. Addolorata, san Michele Arcangelo"
Giorno festivo,seconda domenica di settembre
Cartografia,Cartografia
Mola di Bari,Mola di Bari
Mola di Bari – MappaPosizione di Mola di Bari all'interno della città metropolitana di Bari,Mola di Bari – MappaPosizione di Mola di Bari all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
