San Colombano Certenoli comune,San Colombano Certenoli comune.1
,
San Colombano Certenoli – VedutaPanorama di San Colombano Certenoli,San Colombano Certenoli – VedutaPanorama di San Colombano Certenoli
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,"Carla Casella (lista civica di centro-destra ""Nella continuità verso il futuro"") dal 22-9-2020"
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°22′18.33″N 9°18′41.85″E
Altitudine,45 m s.l.m.
Superficie,"41,58 km²"
Abitanti,2 702[1] (30-11-2025)
Densità,"64,98 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Borzonasca, Carasco, Coreglia Ligure, Leivi, Mezzanego, Orero, Rezzoaglio, Zoagli"
Altre informazioni,Altre informazioni
Cod. postale,16040
Prefisso,0185
Fuso orario,UTC+1
Codice ISTAT,010053
Cod. catastale,H802
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 500 GG[3]"
Nome abitanti,sancolombanesi
Patrono,san Colombano abate
Giorno festivo,23 novembre
Cartografia,Cartografia
San Colombano Certenoli,San Colombano Certenoli
San Colombano Certenoli – MappaPosizione del comune di San Colombano Certenoli nella città metropolitana di Genova,San Colombano Certenoli – MappaPosizione del comune di San Colombano Certenoli nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
