Fascia comune,Fascia comune.1
,
Fascia – VedutaPanorama di Fascia. Sullo sfondo la parrocchiale.,Fascia – VedutaPanorama di Fascia. Sullo sfondo la parrocchiale.
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Marco Gallizia (lista civica di centro-sinistra Per rinnovare) dal 27-5-2019 (2º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°33′57.24″N 9°14′15.36″E
Altitudine,1 118 m s.l.m.
Superficie,"11,25 km²"
Abitanti,65[1] (30-11-2025)
Densità,"5,78 ab./km²"
Frazioni,"Beinaschi, Carpeneto (sede comunale), Casa del Romano, Cassingheno, Fascia"
Comuni confinanti,"Carrega Ligure (AL), Fontanigorda, Gorreto, Montebruno, Propata, Rondanina, Rovegno"
Altre informazioni,Altre informazioni
Cod. postale,16020
Prefisso,010
Fuso orario,UTC+1
Codice ISTAT,010022
Cod. catastale,D509
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 655 GG[3]"
Nome abitanti,fasciotti
Patrono,san Guglielmo di Aquitania
Giorno festivo,10 agosto
Cartografia,Cartografia
Fascia,Fascia
Fascia – MappaPosizione del comune di Fascia nella città metropolitana di Genova,Fascia – MappaPosizione del comune di Fascia nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
