Campomorone comune,Campomorone comune.1
,
Campomorone – VedutaPanorama di Campomorone,Campomorone – VedutaPanorama di Campomorone
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Giancarlo Campora (lista civica di centro-sinistra Campomorone la nostra comunità) dal 27-5-2019 (2º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°30′24.79″N 8°53′30.48″E
Altitudine,118 m s.l.m.
Superficie,"25,91 km²"
Abitanti,6 436[1] (30-11-2025)
Densità,"248,4 ab./km²"
Frazioni,"Cravasco, Gallaneto, Gazzolo, Isoverde, Langasco, Pietralavezzara, Santo Stefano di Larvego"
Comuni confinanti,"Bosio (AL), Ceranesi, Fraconalto (AL), Genova, Mignanego, Voltaggio (AL)"
Altre informazioni,Altre informazioni
Cod. postale,16014
Prefisso,010
Fuso orario,UTC+1
Codice ISTAT,010009
Cod. catastale,B551
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 867 GG[3]"
Nome abitanti,campomoronesi
Patrono,Madonna del Santo Amore
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Campomorone,Campomorone
Campomorone – MappaPosizione del comune di Campomorone nella città metropolitana di Genova,Campomorone – MappaPosizione del comune di Campomorone nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
