Tiglieto comune,Tiglieto comune.1
,
Tiglieto – VedutaPanorama primaverile di Tiglieto,Tiglieto – VedutaPanorama primaverile di Tiglieto
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Maurizio Olivieri (lista civica Continuare a cambiare) dal 10-6-2024
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°31′29.87″N 8°37′11.32″E
Altitudine,500 m s.l.m.
Superficie,"24,54 km²"
Abitanti,476[1] (30-11-2025)
Densità,"19,4 ab./km²"
Frazioni,Acquabuona
Comuni confinanti,"Campo Ligure, Genova, Masone, Molare (AL), Ponzone (AL), Rossiglione, Urbe (SV)"
Altre informazioni,Altre informazioni
Cod. postale,16010
Prefisso,010
Fuso orario,UTC+1
Codice ISTAT,010061
Cod. catastale,L167
Targa,GE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 467 GG[3]"
Nome abitanti,tiglietesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Tiglieto,Tiglieto
Tiglieto – MappaPosizione del comune di Tiglieto nella città metropolitana di Genova,Tiglieto – MappaPosizione del comune di Tiglieto nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
