Santa Margherita Ligure comune,Santa Margherita Ligure comune.1
,
Santa Margherita Ligure – VedutaVista aerea,Santa Margherita Ligure – VedutaVista aerea
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Guglielmo Caversazio (lista civica di centro-sinistra Uniti per Santa) dal 10-6-2024
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°20′05.76″N 9°12′36.44″E
Altitudine,13 m s.l.m.
Superficie,"10,04 km²"
Abitanti,8 273[1] (30-11-2025)
Densità,824 ab./km²
Frazioni,"Nozarego, Paraggi, San Lorenzo della Costa"
Comuni confinanti,"Camogli, Portofino, Rapallo"
Altre informazioni,Altre informazioni
Cod. postale,16038
Prefisso,0185
Fuso orario,UTC+1
Codice ISTAT,010054
Cod. catastale,I225
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 434 GG[3]"
Nome abitanti,sammargheritesi
Patrono,Margherita d'Antiochia
Giorno festivo,20 luglio
Cartografia,Cartografia
Santa Margherita Ligure,Santa Margherita Ligure
Santa Margherita Ligure – MappaPosizione del comune di Santa Margherita Ligure nella città metropolitana di Genova,Santa Margherita Ligure – MappaPosizione del comune di Santa Margherita Ligure nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
