Coreglia Ligure comune,Coreglia Ligure comune.1
,
Coreglia Ligure – VedutaPanorama dalla strada provinciale 58 del passo della Crocetta,Coreglia Ligure – VedutaPanorama dalla strada provinciale 58 del passo della Crocetta
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Ermano Noce (lista civica di centro-sinistra Per la nostra gente) dal 27-5-2019 (2º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°23′30.76″N 9°16′03.02″E
Altitudine,65[1] m s.l.m.
Superficie,8 km²
Abitanti,243[2] (30-11-2025)
Densità,"30,38 ab./km²"
Frazioni,"Canevale, Coreglia Ligure, Dezerega"
Comuni confinanti,"Cicagna, Orero, Rapallo, San Colombano Certenoli, Zoagli"
Altre informazioni,Altre informazioni
Cod. postale,16040
Prefisso,0185
Fuso orario,UTC+1
Codice ISTAT,010019
Cod. catastale,C995
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 220 GG[4]"
Nome abitanti,coregliesi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Coreglia Ligure,Coreglia Ligure
Coreglia Ligure – MappaPosizione del comune di Coreglia Ligure nella città metropolitana di Genova,Coreglia Ligure – MappaPosizione del comune di Coreglia Ligure nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
