Montoggio comune,Montoggio comune.1
,
Montoggio – VedutaPanorama di Montoggio,Montoggio – VedutaPanorama di Montoggio
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Mauro Faustino Fantoni (lista civica di centro-sinistra Montoggio insieme) dal 27-5-2013 (3º mandato dal 15-5-2023)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°30′54.5″N 9°02′36.99″E
Altitudine,438 m s.l.m.
Superficie,"47,73 km²"
Abitanti,2 017[1] (30-11-2025)
Densità,"42,26 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Casella, Davagna, Genova, Sant'Olcese, Serra Riccò, Torriglia, Valbrevenna"
Altre informazioni,Altre informazioni
Cod. postale,16026
Prefisso,010
Fuso orario,UTC+1
Codice ISTAT,010039
Cod. catastale,F682
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 486 GG[3]"
Nome abitanti,montoggesi o montoggini
Patrono,san Giovanni Decollato
Giorno festivo,penultima domenica di agosto
Cartografia,Cartografia
Montoggio,Montoggio
Montoggio – MappaPosizione del comune di Montoggio nella città metropolitana di Genova,Montoggio – MappaPosizione del comune di Montoggio nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
