Sant'Olcese comune,Sant'Olcese comune.1
,
Sant'Olcese – VedutaPanorama di Sant'Olcese,Sant'Olcese – VedutaPanorama di Sant'Olcese
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Sara Dante (lista civica di centro-sinistra Centrosinistra per Sant'Olcese) dal 4-10-2021
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°29′00.19″N 8°56′06.83″E
Altitudine,155 m s.l.m.
Superficie,"21,9 km²"
Abitanti,5 553[1] (30-11-2025)
Densità,"253,56 ab./km²"
Frazioni,"Arvigo, Casanova, Comago, Manesseno, Piccarello (sede comunale), Sant'Olcese, Torrazza, Trensasco, Vicomorasso"
Comuni confinanti,"Genova, Montoggio, Serra Riccò"
Altre informazioni,Altre informazioni
Cod. postale,16010
Prefisso,010
Fuso orario,UTC+1
Codice ISTAT,010055
Cod. catastale,I346
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 906 GG[3]"
Nome abitanti,santolcesini
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Sant'Olcese,Sant'Olcese
Sant'Olcese – MappaPosizione del comune di Sant'Olcese nella città metropolitana di Genova,Sant'Olcese – MappaPosizione del comune di Sant'Olcese nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
