Lumarzo comune,Lumarzo comune.1
,
Lumarzo – VedutaPanorama del territorio lumarzino,Lumarzo – VedutaPanorama del territorio lumarzino
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Guido Guelfo (lista civica di centro-destra Per Lumarzo) dal 10-6-2024
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°26′36.7″N 9°08′14.06″E
Altitudine,228 m s.l.m.
Superficie,"25,51 km²"
Abitanti,1 436[1] (30-11-2025)
Densità,"56,29 ab./km²"
Frazioni,"Boasi, Ferriere (sede comunale), Lumarzo, Pannesi, Tasso, Vallebuona"
Comuni confinanti,"Bargagli, Davagna, Neirone, Sori, Torriglia, Uscio"
Altre informazioni,Altre informazioni
Cod. postale,16024
Prefisso,0185
Fuso orario,UTC+1
Codice ISTAT,010031
Cod. catastale,E737
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 2 056 GG[3]"
Nome abitanti,lumarzini
Patrono,san Camillo de Lellis
Giorno festivo,"Primo lunedì dopo la Festa della Madonna del Bosco che, a sua volta, ricorre la prima domenica dopo l'8 settembre"
Cartografia,Cartografia
Lumarzo,Lumarzo
Lumarzo – MappaPosizione del comune di Lumarzo nella città metropolitana di Genova,Lumarzo – MappaPosizione del comune di Lumarzo nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
