Moconesi comune,Moconesi comune.1
,
"Moconesi – VedutaPanorama di Ferrada, sede comunale.","Moconesi – VedutaPanorama di Ferrada, sede comunale."
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Giovanni Dondero (lista civica di centro-destra Insieme per Moconesi) dal 27-5-2019 (2º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°25′11.41″N 9°12′44.49″E
Altitudine,132 m s.l.m.
Superficie,"16,27 km²"
Abitanti,2 427[1] (30-11-2025)
Densità,"149,17 ab./km²"
Frazioni,"Cornia, Dragonaria, Ferrada (sede comunale), Gallinaria, Gattorna, Moconesi Alto, Pezzonasca, Santa Brilla, Terrarossa Colombo"
Comuni confinanti,"Cicagna, Favale di Malvaro, Lorsica, Montebruno, Neirone, Torriglia, Tribogna"
Altre informazioni,Altre informazioni
Cod. postale,16047
Prefisso,0185
Fuso orario,UTC+1
Codice ISTAT,010036
Cod. catastale,F256
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 946 GG[3]"
Nome abitanti,moconesini
Patrono,Sacro Cuore di Gesù
Giorno festivo,terza domenica di settembre
Cartografia,Cartografia
Moconesi,Moconesi
Moconesi – MappaPosizione del comune di Moconesi nella città metropolitana di Genova,Moconesi – MappaPosizione del comune di Moconesi nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
