Tribogna comune,Tribogna comune.1
,
Tribogna – VedutaPanorama di Tribogna da Serra di Cicagna,Tribogna – VedutaPanorama di Tribogna da Serra di Cicagna
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Marina Garbarino (lista civica di centro-destra Volta pagina rinnova Tribogna) dal 26-5-2014 (3º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°24′58.91″N 9°11′45.26″E
Altitudine,329 m s.l.m.
Superficie,"7,14 km²"
Abitanti,594[1] (30-11-2025)
Densità,"83,19 ab./km²"
Frazioni,"Aveno, Bassi, Cassanesi, Garbarini (sede comunale) Piandeipreti"
Comuni confinanti,"Avegno, Cicagna, Moconesi, Neirone, Rapallo, Uscio"
Altre informazioni,Altre informazioni
Cod. postale,16030
Prefisso,0185
Fuso orario,UTC+1
Codice ISTAT,010063
Cod. catastale,L416
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 247 GG[3]"
Nome abitanti,tribognini
Patrono,san Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Tribogna,Tribogna
Tribogna – MappaPosizione del comune di Tribogna nella città metropolitana di Genova,Tribogna – MappaPosizione del comune di Tribogna nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
