Portofino comune,Portofino comune.1
,
Portofino – VedutaPanorama di Portofino,Portofino – VedutaPanorama di Portofino
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Matteo Viacava (lista civica di centro-destra Tutti insieme) dal 6-6-2016 (2º mandato dal 4-10-2021)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°18′15.27″N 9°12′25.78″E
Altitudine,5 m s.l.m.
Superficie,"2,53 km²"
Abitanti,359[1] (30-11-2025)
Densità,"141,9 ab./km²"
Comuni confinanti,"Camogli, Santa Margherita Ligure"
Altre informazioni,Altre informazioni
Cod. postale,16034
Prefisso,0185
Fuso orario,UTC+1
Codice ISTAT,010044
Cod. catastale,G913
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 414 GG[3]"
Nome abitanti,portofinesi
Patrono,san Giorgio
Giorno festivo,prima domenica di aprile
Cartografia,Cartografia
Portofino,Portofino
Portofino – MappaPosizione del comune di Portofino nella città metropolitana di Genova,Portofino – MappaPosizione del comune di Portofino nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
