Mezzanego comune,Mezzanego comune.1
,
Mezzanego – VedutaPanorama del territorio di Mezzanego,Mezzanego – VedutaPanorama del territorio di Mezzanego
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Danilo Repetto (lista civica di centro-sinistra Tradizione e innovazione per Mezzanego) dall'8-6-2009 (4º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°23′01.29″N 9°22′38.24″E
Altitudine,83 m s.l.m.
Superficie,"28,65 km²"
Abitanti,1 559[1] (30-11-2025)
Densità,"54,42 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Borzonasca, Carasco, Ne, San Colombano Certenoli, Tornolo (PR)"
Altre informazioni,Altre informazioni
Cod. postale,16046
Prefisso,0185
Fuso orario,UTC+1
Codice ISTAT,010034
Cod. catastale,F173
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 845 GG[3]"
Nome abitanti,mezzaneghesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Mezzanego,Mezzanego
Mezzanego – MappaPosizione del comune di Mezzanego nella città metropolitana di Genova,Mezzanego – MappaPosizione del comune di Mezzanego nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
