Busalla comune,Busalla comune.1
,
Busalla – VedutaPanorama dallo Scrivia,Busalla – VedutaPanorama dallo Scrivia
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Loris Maieron (lista civica di centro-destra Insieme per Busalla) dal 26-5-2014 (3º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°34′15.76″N 8°56′43.24″E
Altitudine,358 m s.l.m.
Superficie,"17,06 km²"
Abitanti,5 134[1] (30-11-2025)
Densità,"300,94 ab./km²"
Frazioni,"Bastia, Camarza, Sarissola, Salvarezza, Semino"
Comuni confinanti,"Crocefieschi, Fraconalto (AL), Isola del Cantone, Mignanego, Ronco Scrivia, Savignone, Vobbia"
Altre informazioni,Altre informazioni
Cod. postale,16012
Prefisso,010
Fuso orario,UTC+1
Codice ISTAT,010006
Cod. catastale,B282
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 458 GG[3]"
Nome abitanti,busallesi
Patrono,Santissimo Nome di Maria
Giorno festivo,12 settembre
Cartografia,Cartografia
Busalla,Busalla
Busalla – MappaPosizione del comune di Busalla nella città metropolitana di Genova,Busalla – MappaPosizione del comune di Busalla nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
