Mele comune,Mele comune.1
,
Mele – VedutaPanorama di Mele,Mele – VedutaPanorama di Mele
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Mirco Ferrando (lista civica di centro-sinistra Insieme per Mele) dal 26-5-2014 (3º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°26′43.79″N 8°44′52.59″E
Altitudine,125 m s.l.m.
Superficie,"16,93 km²"
Abitanti,2 505[1] (30-11-2025)
Densità,"147,96 ab./km²"
Frazioni,"Acquasanta, Biscaccia, Fado, Ferriera, Fondo Crosa"
Comuni confinanti,"Bosio (AL), Genova, Masone"
Altre informazioni,Altre informazioni
Cod. postale,16010
Prefisso,010
Fuso orario,UTC+1
Codice ISTAT,010033
Cod. catastale,F098
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 845 GG[3]"
Nome abitanti,melesi
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Mele,Mele
Mele – MappaPosizione del comune di Mele nella città metropolitana di Genova,Mele – MappaPosizione del comune di Mele nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
