Ne comune,Ne comune.1
,
Ne – VedutaPanorama della val Graveglia,Ne – VedutaPanorama della val Graveglia
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Francesca Garibaldi (lista civica di centro-destra Cambia con Ne) dal 27-5-2019 (2º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°20′40.27″N 9°23′54.77″E
Altitudine,68 m s.l.m.
Superficie,"63,52 km²"
Abitanti,2 116[1] (30-11-2025)
Densità,"33,31 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Borzonasca, Carasco, Casarza Ligure, Cogorno, Lavagna, Maissana (SP), Mezzanego, Sestri Levante, Varese Ligure (SP)"
Altre informazioni,Altre informazioni
Cod. postale,16040
Prefisso,0185
Fuso orario,UTC+1
Codice ISTAT,010040
Cod. catastale,F858
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 819 GG[3]"
Nome abitanti,neesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Ne,Ne
Ne – MappaPosizione del comune di Ne nella città metropolitana di Genova,Ne – MappaPosizione del comune di Ne nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
