Sestri Levante comune,Sestri Levante comune.1
,
Sestri Levante – VedutaPanorama di Sestri Levante,Sestri Levante – VedutaPanorama di Sestri Levante
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Francesco Solinas (Coalizione di liste civiche di centro-destra[1]) dal 29-5-2023
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°16′24″N 9°23′35.66″E
Altitudine,10 m s.l.m.
Superficie,"33,62 km²"
Abitanti,17 094[2] (30-11-2025)
Densità,"508,45 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Casarza Ligure, Lavagna, Moneglia, Ne"
Altre informazioni,Altre informazioni
Cod. postale,16039
Prefisso,0185
Fuso orario,UTC+1
Codice ISTAT,010059
Cod. catastale,I693
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 416 GG[4]"
Nome abitanti,sestresi o sestrini[5]
Patrono,san Nicolò
Giorno festivo,6 dicembre
Cartografia,Cartografia
Sestri Levante,Sestri Levante
Sestri Levante – MappaPosizione del comune di Sestri Levante nella città metropolitana di Genova,Sestri Levante – MappaPosizione del comune di Sestri Levante nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
