Fontanigorda comune,Fontanigorda comune.1
,
Fontanigorda – VedutaPanorama di Fontanigorda,Fontanigorda – VedutaPanorama di Fontanigorda
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Bruno Franceschi (lista civica di centro-sinistra Lavorare insieme) dal 27-5-2019 (2º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°32′47.66″N 9°18′17.08″E
Altitudine,819 m s.l.m.
Superficie,"16,16 km²"
Abitanti,224[1] (30-11-2025)
Densità,"13,86 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Fascia, Montebruno, Rezzoaglio, Rovegno"
Altre informazioni,Altre informazioni
Cod. postale,16023
Prefisso,010
Fuso orario,UTC+1
Codice ISTAT,010024
Cod. catastale,D677
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 489 GG[3]"
Nome abitanti,fontanigordesi
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Fontanigorda,Fontanigorda
Fontanigorda – MappaPosizione del comune di Fontanigorda nella città metropolitana di Genova,Fontanigorda – MappaPosizione del comune di Fontanigorda nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
