Uscio comune,Uscio comune.1
,
Uscio – VedutaPanorama di Uscio,Uscio – VedutaPanorama di Uscio
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Giuseppe Garbarino (lista civica Uscio di tutti Coraggio e trasparenza) dal 26-5-2014 (3º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°24′47.53″N 9°09′46.65″E
Altitudine,361 m s.l.m.
Superficie,"9,63 km²"
Abitanti,2 123[1] (30-11-2025)
Densità,"220,46 ab./km²"
Frazioni,"Calcinara, Terrile, villa lilla"
Comuni confinanti,"Avegno, Lumarzo, Neirone, Sori, Tribogna"
Altre informazioni,Altre informazioni
Cod. postale,16036
Prefisso,0185
Fuso orario,UTC+1
Codice ISTAT,010064
Cod. catastale,L507
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 329 GG[3]"
Nome abitanti,usciesi
Patrono,Madonna dei Dolori
Giorno festivo,terza domenica di settembre
Cartografia,Cartografia
Uscio,Uscio
Uscio – MappaPosizione del comune di Uscio nella città metropolitana di Genova,Uscio – MappaPosizione del comune di Uscio nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
