Sori comune,Sori comune.1
(dettagli)  (dettagli),(dettagli)  (dettagli)
Sori – VedutaPanorama del borgo marinaro di Sori,Sori – VedutaPanorama del borgo marinaro di Sori
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Marco Visca (lista civica di centro-destra Ancora per Sori) dal 10-6-2024
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°22′21.67″N 9°05′15.24″E
Altitudine,14 m s.l.m.
Superficie,"13,07 km²"
Abitanti,3 901[1] (30-11-2025)
Densità,"298,47 ab./km²"
Frazioni,"Cànepa, Capreno, Lago, Levà, San Bartolomeo, Sant'Apollinare, Sussisa, Teriasca"
Comuni confinanti,"Avegno, Bargagli, Bogliasco, Genova, Lumarzo, Pieve Ligure, Recco, Uscio"
Altre informazioni,Altre informazioni
Cod. postale,16031
Prefisso,0185
Fuso orario,UTC+1
Codice ISTAT,010060
Cod. catastale,I852
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 423 GG[3]"
Nome abitanti,soresi
Patrono,san Gottardo
Giorno festivo,15 agosto
Cartografia,Cartografia
Sori,Sori
Sori – MappaPosizione del comune di Sori nella città metropolitana di Genova,Sori – MappaPosizione del comune di Sori nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
