Gorreto comune,Gorreto comune.1
,
Gorreto – VedutaPanorama di Gorreto,Gorreto – VedutaPanorama di Gorreto
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Paolo Saredi (lista civica Gorreto si rinnova) dal 10-6-2024
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°36′21.84″N 9°17′32.76″E
Altitudine,533 m s.l.m.
Superficie,"18,88 km²"
Abitanti,84[1] (30-11-2025)
Densità,"4,45 ab./km²"
Frazioni,"Alpe, Borgo, Bosco, Canneto, Fontanarossa, Pissino, Varni"
Comuni confinanti,"Carrega Ligure (AL), Fascia, Ottone (PC), Rovegno"
Altre informazioni,Altre informazioni
Cod. postale,16020
Prefisso,010
Fuso orario,UTC+1
Codice ISTAT,010026
Cod. catastale,E109
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 794 GG[3]"
Nome abitanti,gorretesi
Patrono,san Fermo
Giorno festivo,prima domenica di agosto
Cartografia,Cartografia
Gorreto,Gorreto
Gorreto – MappaPosizione del comune di Gorreto nella città metropolitana di Genova,Gorreto – MappaPosizione del comune di Gorreto nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
