Ronco Scrivia comune,Ronco Scrivia comune.1
,
Ronco Scrivia – VedutaVista a panorama di Ronco Scrivia dal monte Reale,Ronco Scrivia – VedutaVista a panorama di Ronco Scrivia dal monte Reale
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Rosa Olivieri (lista civica Insieme per il paese) dal 1-6-2015 (2º mandato dal 22-9-2020)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°36′29.54″N 8°57′18.6″E
Altitudine,334 m s.l.m.
Superficie,"30,11 km²"
Abitanti,4 218[1] (30-11-2025)
Densità,"140,09 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Busalla, Fraconalto (AL), Isola del Cantone, Voltaggio (AL)"
Altre informazioni,Altre informazioni
Cod. postale,16019
Prefisso,010
Fuso orario,UTC+1
Codice ISTAT,010049
Cod. catastale,H536
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 273 GG[3]"
Nome abitanti,ronchesi
Patrono,Nostra Signora del Carmine[4]
Giorno festivo,16 luglio
Cartografia,Cartografia
Ronco Scrivia,Ronco Scrivia
Ronco Scrivia – MappaPosizione del comune di Ronco Scrivia nella città metropolitana di Genova,Ronco Scrivia – MappaPosizione del comune di Ronco Scrivia nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
