Avegno comune,Avegno comune.1
,
Avegno – VedutaPanorama del territorio avegnese,Avegno – VedutaPanorama del territorio avegnese
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Franco Canevello (lista civica di centro-destra Avegno domani) dal 26-5-2014 (3º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°22′56.4″N 9°09′31.13″E
Altitudine,40 m s.l.m.
Superficie,"10,93 km²"
Abitanti,2 542[1] (30-11-2025)
Densità,"232,57 ab./km²"
Frazioni,"Salto, Testana, Vescina"
Comuni confinanti,"Rapallo, Recco, Sori, Tribogna, Uscio"
Altre informazioni,Altre informazioni
Cod. postale,16036
Prefisso,0185
Fuso orario,UTC+1
Codice ISTAT,010002
Cod. catastale,A506
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 535 GG[3]"
Nome abitanti,avegnesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Avegno,Avegno
Avegno – MappaPosizione del comune di Avegno nella città metropolitana di Genova,Avegno – MappaPosizione del comune di Avegno nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
