Ceranesi comune,Ceranesi comune.1
,
Ceranesi – VedutaIl santuario della Guardia sul monte Figogna,Ceranesi – VedutaIl santuario della Guardia sul monte Figogna
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Claudio Montaldo (lista civica di centro-sinistra Una storia in comune) dal 13-6-2022
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°30′30.07″N 8°53′02.26″E
Altitudine,80 m s.l.m.
Superficie,"30,7 km²"
Abitanti,3 594[1] (30-11-2025)
Densità,"117,07 ab./km²"
Frazioni,"Geo, Livellato, San Martino di Paravanico, Torbi, Lencisa"
Comuni confinanti,"Bosio (AL), Campomorone, Genova"
Altre informazioni,Altre informazioni
Cod. postale,16014
Prefisso,010
Fuso orario,UTC+1
Codice ISTAT,010014
Cod. catastale,C481
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 789 GG[3]"
Nome abitanti,ceranesotti o ceranesini
Patrono,Nostra Signora della Guardia
Giorno festivo,29 agosto
Cartografia,Cartografia
Ceranesi,Ceranesi
Ceranesi – MappaPosizione del comune di Ceranesi nella città metropolitana di Genova,Ceranesi – MappaPosizione del comune di Ceranesi nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
