Rossiglione comune,Rossiglione comune.1
,
Rossiglione – VedutaPanorama di Rossiglione Superiore e Inferiore,Rossiglione – VedutaPanorama di Rossiglione Superiore e Inferiore
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Omar Peruzzo (lista civica di centro-sinistra Insieme per crescere Rossiglione) dal 26-5-2025
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°34′N 8°40′E
Altitudine,297 m s.l.m.
Superficie,"47,59 km²"
Abitanti,2 520[1] (30-11-2025)
Densità,"52,95 ab./km²"
Frazioni,Garrone
Comuni confinanti,"Belforte Monferrato (AL), Bosio (AL), Campo Ligure, Molare (AL), Ovada (AL), Tagliolo Monferrato (AL), Tiglieto"
Altre informazioni,Altre informazioni
Cod. postale,16010
Prefisso,010
Fuso orario,UTC+1
Codice ISTAT,010051
Cod. catastale,H581
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 497 GG[3]"
Nome abitanti,rossiglionesi
Patrono,Transito di san Giuseppe per la Borgata Inferiore; Madonna degli Angeli per la Borgata Superiore
Giorno festivo,terza domenica di luglio e prima domenica di agosto
Cartografia,Cartografia
Rossiglione,Rossiglione
Rossiglione – MappaPosizione del comune di Rossiglione nella città metropolitana di Genova,Rossiglione – MappaPosizione del comune di Rossiglione nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
