Santo Stefano d'Aveto comune,Santo Stefano d'Aveto comune.1
,
Santo Stefano d'Aveto – VedutaPanorama di Santo Stefano d'Aveto dalla statale per il passo del Tomarlo,Santo Stefano d'Aveto – VedutaPanorama di Santo Stefano d'Aveto dalla statale per il passo del Tomarlo
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Mattia Crucioli (Sindaco F.F.) dal 27-11-2025
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°32′51.78″N 9°27′02.64″E
Altitudine,1 012 m s.l.m.
Superficie,"54,78 km²"
Abitanti,965[1] (30-11-2025)
Densità,"17,62 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Bedonia (PR), Borzonasca, Ferriere (PC), Rezzoaglio, Tornolo (PR)"
Altre informazioni,Altre informazioni
Cod. postale,16049
Prefisso,0185
Fuso orario,UTC+1
Codice ISTAT,010056
Cod. catastale,I368
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 885 GG[3]"
Nome abitanti,santostefanesi
Patrono,Nostra Signora di Guadalupe
Giorno festivo,domenica successiva al 16 agosto
Cartografia,Cartografia
Santo Stefano d'Aveto,Santo Stefano d'Aveto
Santo Stefano d'Aveto – MappaPosizione del comune di Santo Stefano d'Aveto nella città metropolitana di Genova,Santo Stefano d'Aveto – MappaPosizione del comune di Santo Stefano d'Aveto nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
