Montebruno comune,Montebruno comune.1
,
Montebruno – VedutaPanorama di Montebruno,Montebruno – VedutaPanorama di Montebruno
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Caterina Barbieri (lista civica Voliamo in alto a Montebruno) dal 10-6-2024
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°31′33.51″N 9°14′56.45″E
Altitudine,655 m s.l.m.
Superficie,"17,68 km²"
Abitanti,200[1] (30-11-2025)
Densità,"11,31 ab./km²"
Comuni confinanti,"Fascia, Fontanigorda, Lorsica, Moconesi, Rezzoaglio, Rondanina, Torriglia"
Altre informazioni,Altre informazioni
Cod. postale,16025
Prefisso,010
Fuso orario,UTC+1
Codice ISTAT,010038
Cod. catastale,F445
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 153 GG[3]"
Nome abitanti,montebrunesi
Patrono,Natività di Maria
Giorno festivo,8 settembre
Cartografia,Cartografia
Montebruno,Montebruno
Montebruno – MappaPosizione del comune di Montebruno nella città metropolitana di Genova,Montebruno – MappaPosizione del comune di Montebruno nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
