Pieve Ligure comune,Pieve Ligure comune.1
,
Pieve Ligure – VedutaIl centro del paese visto da via San Bernardo,Pieve Ligure – VedutaIl centro del paese visto da via San Bernardo
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Paola Negro (lista civica di centro-sinistra Pieve nel cuore) dal 13-6-2022
Data di istituzione,1946
Territorio,Territorio
Coordinate,44°22′29.31″N 9°05′11.75″E
Altitudine,70 m s.l.m.
Superficie,"3,56 km²"
Abitanti,2 361[1] (30-11-2025)
Densità,"663,2 ab./km²"
Comuni confinanti,"Bogliasco, Sori"
Altre informazioni,Altre informazioni
Cod. postale,16031
Prefisso,010
Fuso orario,UTC+1
Codice ISTAT,010043
Cod. catastale,G646
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 933 GG[3]"
Nome abitanti,pievesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
PIL procapite,(nominale) 32.052
Cartografia,Cartografia
Pieve Ligure,Pieve Ligure
Pieve Ligure – MappaPosizione del comune di Pieve Ligure nella città metropolitana di Genova,Pieve Ligure – MappaPosizione del comune di Pieve Ligure nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
