Lorsica comune,Lorsica comune.1
,
"Lorsica – VedutaL'abitato di Lorsica con, a destra, la chiesa locale","Lorsica – VedutaL'abitato di Lorsica con, a destra, la chiesa locale"
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Alessandro Graziadelli (lista civica di centro-destra Lorsica verso il futuro) dal 27-5-2019 (2º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°25′46.25″N 9°16′04.3″E
Altitudine,343 m s.l.m.
Superficie,"17,72 km²"
Abitanti,378[1] (30-11-2025)
Densità,"21,33 ab./km²"
Frazioni,"Acqua di Sopra, Barbagelata, Castagneto, Figarolo (sede comunale), Lorsica, Monteghirfo, Verzi"
Comuni confinanti,"Cicagna, Favale di Malvaro, Moconesi, Montebruno, Neirone, Orero, Rezzoaglio, Torriglia"
Altre informazioni,Altre informazioni
Cod. postale,16045
Prefisso,0185
Fuso orario,UTC+1
Codice ISTAT,010030
Cod. catastale,E695
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 292 GG[3]"
Nome abitanti,lorsicesi
Patrono,santa Caterina da Genova
Giorno festivo,22 marzo
Cartografia,Cartografia
Lorsica,Lorsica
Lorsica – MappaPosizione del comune di Lorsica nella città metropolitana di Genova,Lorsica – MappaPosizione del comune di Lorsica nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
