Crocefieschi comune,Crocefieschi comune.1
,
Crocefieschi – VedutaPanorama di Crocefieschi,Crocefieschi – VedutaPanorama di Crocefieschi
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,"Filippo Bassignana (lista civica di centro-sinistra ""Croce dei Fieschi"") dal 22-9-2020"
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°35′04.67″N 9°01′24.48″E
Altitudine,742 m s.l.m.
Superficie,"11,73 km²"
Abitanti,547[1] (30-11-2025)
Densità,"46,63 ab./km²"
Frazioni,"Crebaia, Crosi, Martellona, Preria, Strassera, Vallegge, Vallemara"
Comuni confinanti,"Busalla, Savignone, Valbrevenna, Vobbia"
Altre informazioni,Altre informazioni
Cod. postale,16010
Prefisso,010
Fuso orario,UTC+1
Codice ISTAT,010020
Cod. catastale,D175
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 467 GG[3]"
Nome abitanti,crocesi
Patrono,Immacolata Concezione
Giorno festivo,8 dicembre
Cartografia,Cartografia
Crocefieschi,Crocefieschi
Crocefieschi – MappaPosizione del comune di Crocefieschi nella città metropolitana di Genova,Crocefieschi – MappaPosizione del comune di Crocefieschi nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
