Mignanego comune,Mignanego comune.1
,
Mignanego – VedutaPanorama del territorio mignaneghese,Mignanego – VedutaPanorama del territorio mignaneghese
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Michele Malfatti (lista civica di centro-sinistra Tu sei Mignanego) dal 10-6-2024
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°31′40.17″N 8°54′54.67″E
Altitudine,137 m s.l.m.
Superficie,"16,27 km²"
Abitanti,3 551[1] (30-11-2025)
Densità,"218,25 ab./km²"
Frazioni,"Fumeri, Giovi, Montanesi, Paveto, Ponterosso, Vetrerie"
Comuni confinanti,"Busalla, Campomorone, Fraconalto (AL), Genova, Savignone, Serra Riccò, Voltaggio (AL)"
Altre informazioni,Altre informazioni
Cod. postale,16018
Prefisso,010
Fuso orario,UTC+1
Codice ISTAT,010035
Cod. catastale,F202
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 962 GG[3]"
Nome abitanti,mignaneghini o mignaneghesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Mignanego,Mignanego
Mignanego – MappaPosizione del comune di Mignanego nella città metropolitana di Genova,Mignanego – MappaPosizione del comune di Mignanego nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
