Castiglione Chiavarese comune,Castiglione Chiavarese comune.1
,
Castiglione Chiavarese – VedutaPanorama di Castiglione Chiavarese,Castiglione Chiavarese – VedutaPanorama di Castiglione Chiavarese
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Giovanni Collorado (lista civica di centro Per Castiglione) dall'8-6-2009 (4º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°16′28.25″N 9°30′49.09″E
Altitudine,271 m s.l.m.
Superficie,"29,75 km²"
Abitanti,1 535[1] (30-11-2025)
Densità,"51,6 ab./km²"
Frazioni,"Campegli, Casali, Masso, Mereta, Missano, San Pietro Frascati, Velva"
Comuni confinanti,"Carro (SP), Casarza Ligure, Deiva Marina (SP), Maissana (SP), Moneglia"
Altre informazioni,Altre informazioni
Cod. postale,16030
Prefisso,0185
Fuso orario,UTC+1
Codice ISTAT,010013
Cod. catastale,C302
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 346 GG[3]"
Nome abitanti,castiglionesi
Patrono,Madonna del Carmine
Giorno festivo,16 luglio
Cartografia,Cartografia
Castiglione Chiavarese,Castiglione Chiavarese
Castiglione Chiavarese – MappaPosizione del comune di Castiglione Chiavarese nella città metropolitana di Genova,Castiglione Chiavarese – MappaPosizione del comune di Castiglione Chiavarese nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
