Leivi comune,Leivi comune.1
,
Leivi – VedutaPanorama di San Rufino e del territorio leivese,Leivi – VedutaPanorama di San Rufino e del territorio leivese
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Gabriele Pisani (lista civica di centro Tradizione e sviluppo) dal 10-6-2024
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°20′44.55″N 9°19′08.44″E
Altitudine,272 m s.l.m.
Superficie,"9,71 km²"
Abitanti,2 444[1] (30-11-2025)
Densità,"251,7 ab./km²"
Frazioni,"Bocco, Curlo, Solaro, Oneto"
Comuni confinanti,"Carasco, Chiavari, San Colombano Certenoli, Zoagli"
Altre informazioni,Altre informazioni
Cod. postale,16040
Prefisso,0185
Fuso orario,UTC+1
Codice ISTAT,010029
Cod. catastale,E519
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 133 GG[3]"
Nome abitanti,leivesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Leivi,Leivi
Leivi – MappaPosizione del comune di Leivi nella città metropolitana di Genova,Leivi – MappaPosizione del comune di Leivi nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
