Recco comune,Recco comune.1
,
Recco – VedutaPanorama di Recco dal sentiero per il santuario della Madonna di Caravaggio (Rapallo),Recco – VedutaPanorama di Recco dal sentiero per il santuario della Madonna di Caravaggio (Rapallo)
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Carlo Gandolfo (Lista civica di centro-destra Per Recco) dal 27-5-2019 (2º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°21′43.52″N 9°08′36.51″E
Altitudine,5 m s.l.m.
Superficie,"9,77 km²"
Abitanti,9 275[1] (30-11-2025)
Densità,"949,33 ab./km²"
Frazioni,"Ageno, Carbonara, Collodari, Corticella, Cotulo, Faveto, Liceto, Megli, Mulinetti, Polanesi, San Rocco, Verzemma"
Comuni confinanti,"Avegno, Camogli, Rapallo, Sori"
Altre informazioni,Altre informazioni
Cod. postale,16036
Prefisso,0185
Fuso orario,UTC+1
Codice ISTAT,010047
Cod. catastale,H212
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 418 GG[3]"
Nome abitanti,recchesi o recchelini
Patrono,Nostra Signora del Suffragio
Giorno festivo,8 settembre
Cartografia,Cartografia
Recco,Recco
Recco – MappaPosizione del comune di Recco nella città metropolitana di Genova,Recco – MappaPosizione del comune di Recco nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
