Valbrevenna comune,Valbrevenna comune.1
,
Valbrevenna – VedutaLa val Brevenna vista dal monte Maggio (Savignone),Valbrevenna – VedutaLa val Brevenna vista dal monte Maggio (Savignone)
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Michele Brassesco (lista civica di centro Valbrevenna viva) dal 16-5-2011 (3º mandato dal 4-10-2021)
Data di istituzione,1896
Territorio,Territorio
Coordinate,44°33′38.08″N 9°05′29.77″E
Altitudine,533 m s.l.m.
Superficie,"34,67 km²"
Abitanti,754[1] (30-11-2025)
Densità,"21,75 ab./km²"
Frazioni,"Carsi, Clavarezza, Frassinello, Molino Vecchio (sede comunale), Nenno, Pareto, Tonno, Senarega[2]"
Comuni confinanti,"Carrega Ligure (AL), Casella, Crocefieschi, Montoggio, Propata, Savignone, Torriglia, Vobbia"
Altre informazioni,Altre informazioni
Cod. postale,16010
Prefisso,010
Fuso orario,UTC+1
Codice ISTAT,010065
Cod. catastale,L546
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 681 GG[4]"
Nome abitanti,valbrevennesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Valbrevenna,Valbrevenna
Valbrevenna – MappaPosizione del comune di Valbrevenna nella città metropolitana di Genova,Valbrevenna – MappaPosizione del comune di Valbrevenna nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
