Torriglia comune,Torriglia comune.1
,
Torriglia – VedutaPanorama di Torriglia,Torriglia – VedutaPanorama di Torriglia
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,"Maurizio Beltrami (lista civica ""Insieme per il futuro"") dal 30-3-2010 (3º mandato dal 22-9-2020)"
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°31′07.44″N 9°09′28.72″E
Altitudine,769 m s.l.m.
Superficie,"60,02 km²"
Abitanti,2 227[1] (30-11-2025)
Densità,"37,1 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Davagna, Lorsica, Lumarzo, Moconesi, Montebruno, Montoggio, Neirone, Propata, Rondanina, Valbrevenna"
Altre informazioni,Altre informazioni
Cod. postale,16029
Prefisso,010
Fuso orario,UTC+1
Codice ISTAT,010062
Cod. catastale,L298
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 387 GG[3]"
Nome abitanti,torrigliesi
Patrono,Nostra Signora della Divina Provvidenza
Giorno festivo,ultima domenica di agosto
Cartografia,Cartografia
Torriglia,Torriglia
Torriglia – MappaPosizione del comune di Torriglia nella città metropolitana di Genova,Torriglia – MappaPosizione del comune di Torriglia nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
