Serra Riccò comune,Serra Riccò comune.1
,
Serra Riccò – VedutaPanorama del territorio serrariccoese,Serra Riccò – VedutaPanorama del territorio serrariccoese
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,"Angela Negri (lista civica ""SiAmo Serra Riccò"") dal 27-5-2019 (2º mandato dal 10-6-2024)"
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°30′27.93″N 8°56′09.42″E
Altitudine,187 m s.l.m.
Superficie,"26,2 km²"
Abitanti,7 574[1] (30-11-2025)
Densità,"289,08 ab./km²"
Frazioni,"Castagna, Mainetto, Orero, Pedemonte (sede comunale), Prelo, San Cipriano, Serra, Valleregia [2]"
Comuni confinanti,"Casella, Genova, Mignanego, Montoggio, Sant'Olcese, Savignone"
Altre informazioni,Altre informazioni
Cod. postale,16010
Prefisso,010
Fuso orario,UTC+1
Codice ISTAT,010058
Cod. catastale,I640
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 2 009 GG[4]"
Nome abitanti,serrariccoesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Serra Riccò,Serra Riccò
Serra Riccò – MappaPosizione del comune di Serra Riccò nella città metropolitana di Genova,Serra Riccò – MappaPosizione del comune di Serra Riccò nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
