Casarza Ligure comune,Casarza Ligure comune.1
,
Casarza Ligure – VedutaPanorama di Casarza Ligure,Casarza Ligure – VedutaPanorama di Casarza Ligure
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Giovanni Stagnaro (Italia Viva) dal 6-6-2016 (2º mandato dal 4-10-2021)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°16′29″N 9°27′12.3″E
Altitudine,34 m s.l.m.
Superficie,"27,82 km²"
Abitanti,6 741[1] (30-11-2025)
Densità,"242,31 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Castiglione Chiavarese, Maissana (SP), Moneglia, Ne, Sestri Levante"
Altre informazioni,Altre informazioni
Cod. postale,16030
Prefisso,0185
Fuso orario,UTC+1
Codice ISTAT,010011
Cod. catastale,B939
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 480 GG[3]"
Nome abitanti,casarzesi
Patrono,santa Monica
Giorno festivo,seconda domenica di maggio
Cartografia,Cartografia
Casarza Ligure,Casarza Ligure
Casarza Ligure – MappaPosizione del comune di Casarza Ligure nella città metropolitana di Genova,Casarza Ligure – MappaPosizione del comune di Casarza Ligure nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
