Lavagna comune,Lavagna comune.1
,
Lavagna – VedutaPanorama di Lavagna,Lavagna – VedutaPanorama di Lavagna
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Gian Alberto Mangiante (lista civica di centro-destra Per Lavagna) dal 27-5-2019 (2º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°18′26.45″N 9°20′41.56″E
Altitudine,6 m s.l.m.
Superficie,"13,88 km²"
Abitanti,12 413[1] (30-11-2025)
Densità,"894,31 ab./km²"
Frazioni,"Barassi, Cavi di Lavagna, Santa Giulia di Centaura, Sorlana"
Comuni confinanti,"Chiavari, Cogorno, Ne, Sestri Levante"
Altre informazioni,Altre informazioni
Cod. postale,16033
Prefisso,0185
Fuso orario,UTC+1
Codice ISTAT,010028
Cod. catastale,E488
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 552 GG[3]"
Nome abitanti,lavagnesi
Patrono,Nostra Signora del Carmine
Giorno festivo,secondo sabato di luglio
Cartografia,Cartografia
Lavagna,Lavagna
Lavagna – MappaPosizione del comune di Lavagna nella città metropolitana di Genova,Lavagna – MappaPosizione del comune di Lavagna nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
