Camogli comune,Camogli comune.1
,
Camogli – VedutaLa palazzata ottocentesca e la passeggiata a mare.,Camogli – VedutaLa palazzata ottocentesca e la passeggiata a mare.
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Giovanni Anelli (lista civica di centro-destra Per la nostra città) dal 15-5-2023
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°20′54.23″N 9°09′20.73″E
Altitudine,32 m s.l.m.
Superficie,"10,07 km²"
Abitanti,4 815[1] (30-11-2025)
Densità,"478,15 ab./km²"
Frazioni,"Ruta, San Fruttuoso, San Rocco"
Comuni confinanti,"Portofino, Rapallo, Recco, Santa Margherita Ligure"
Altre informazioni,Altre informazioni
Cod. postale,16032
Prefisso,0185
Fuso orario,UTC+1
Codice ISTAT,010007
Cod. catastale,B490
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 531 GG[3]"
Nome abitanti,"camoglini, camogliesi"
Patrono,Nostra Signora del Boschetto
Giorno festivo,2 luglio
Cartografia,Cartografia
Camogli,Camogli
Camogli – MappaPosizione del comune di Camogli nella città metropolitana di Genova,Camogli – MappaPosizione del comune di Camogli nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
