Campo Ligure comune,Campo Ligure comune.1
,
Campo Ligure – VedutaPanorama di Campo Ligure,Campo Ligure – VedutaPanorama di Campo Ligure
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Giovanni Oliveri (lista civica di centro-destra Uniti per Campo) dal 27-5-2019 (2º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°32′17.12″N 8°41′52.05″E
Altitudine,342 m s.l.m.
Superficie,"23,74 km²"
Abitanti,2 824[1] (30-11-2025)
Densità,"118,96 ab./km²"
Comuni confinanti,"Bosio (AL), Masone, Rossiglione, Tiglieto"
Altre informazioni,Altre informazioni
Cod. postale,16013
Prefisso,010
Fuso orario,UTC+1
Codice ISTAT,010008
Cod. catastale,B538
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 143 GG[3]"
Nome abitanti,campesi
Patrono,santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Campo Ligure,Campo Ligure
Campo Ligure – MappaPosizione del comune di Campo Ligure nella città metropolitana di Genova,Campo Ligure – MappaPosizione del comune di Campo Ligure nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
