Mariano del Friuli comune,Mariano del Friuli comune.1
(IT) Mariano del Friuli (FUR) Marian [1],(IT) Mariano del Friuli (FUR) Marian [1]
,
Mariano del Friuli – VedutaLa chiesa parrocchiale di San Gottardo,Mariano del Friuli – VedutaLa chiesa parrocchiale di San Gottardo
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Gorizia
Amministrazione,Amministrazione
Sindaco,Cristina Visintin (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°55′N 13°28′E
Altitudine,32 m s.l.m.
Superficie,"8,59 km²"
Abitanti,1 477[2] (30-11-2025)
Densità,"171,94 ab./km²"
Frazioni,Corona[3]
Comuni confinanti,"Cormons, Farra d'Isonzo, Gradisca d'Isonzo, Medea, Moraro, Romans d'Isonzo"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,34070
Prefisso,0481
Fuso orario,UTC+1
Codice ISTAT,031010
Cod. catastale,E952
Targa,GO
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 258 GG[5]"
Nome abitanti,marianesi
Patrono,San Gottardo
Giorno festivo,5 maggio
Cartografia,Cartografia
Mariano del Friuli,Mariano del Friuli
Mariano del Friuli – MappaPosizione del comune di Mariano del Friuli nella provincia di Gorizia,Mariano del Friuli – MappaPosizione del comune di Mariano del Friuli nella provincia di Gorizia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
