Fogliano Redipuglia comune,Fogliano Redipuglia comune.1
(IT) Fogliano Redipuglia (FUR) Fuiàn Ridipùia[1],(IT) Fogliano Redipuglia (FUR) Fuiàn Ridipùia[1]
,
Fogliano Redipuglia – Veduta,Fogliano Redipuglia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Gorizia
Amministrazione,Amministrazione
Sindaco,Cristiana Pisano (centrodestra) dal 30-4-2018 (2º mandato dal 2-4-2023)
Territorio,Territorio
Coordinate,45°52′N 13°29′E
Altitudine,23 m s.l.m.
Superficie,"7,92 km²"
Abitanti,2 959[2] (30-11-2025)
Densità,"373,61 ab./km²"
Frazioni,"Fogliano (sede comunale), Polazzo, Redipuglia"
Comuni confinanti,"Doberdò del Lago, Gradisca d'Isonzo, Ronchi dei Legionari, Sagrado, San Pier d'Isonzo, Villesse"
Altre informazioni,Altre informazioni
Lingue,italiano
Cod. postale,34070
Prefisso,0481
Fuso orario,UTC+1
Codice ISTAT,031006
Cod. catastale,D645
Targa,GO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 277 GG[4]"
Nome abitanti,foglianini
Patrono,Madonna della Salute
Giorno festivo,21 novembre
Cartografia,Cartografia
Fogliano Redipuglia,Fogliano Redipuglia
Fogliano Redipuglia – MappaPosizione del comune di Fogliano Redipuglia nella ex provincia di Gorizia,Fogliano Redipuglia – MappaPosizione del comune di Fogliano Redipuglia nella ex provincia di Gorizia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
