Savogna d'Isonzo comune,Savogna d'Isonzo comune.1
(IT) Savogna d'Isonzo (SL) Sovodnje ob Soči,(IT) Savogna d'Isonzo (SL) Sovodnje ob Soči
,
Savogna d'Isonzo – Veduta,Savogna d'Isonzo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Gorizia
Amministrazione,Amministrazione
Sindaco,"Luca ""Luka"" Pisk (centro-sinistra) dal 27-5-2019"
Lingue ufficiali,"italiano, sloveno"
Territorio,Territorio
Coordinate,45°55′N 13°35′E
Altitudine,49 m s.l.m.
Superficie,"16,98 km²"
Abitanti,1 678[1] (30-11-2025)
Densità,"98,82 ab./km²"
Frazioni,"Gabria/Gabrje, Peci/Peč, Rubbia/Rubije, Rupa, San Michele del Carso/Vrh[2]"
Comuni confinanti,"Doberdò del Lago, Farra d'Isonzo, Gorizia, Merna-Castagnevizza (Miren-Kostanjevica) (SLO), San Pietro-Vertoiba (SLO), Sagrado"
Altre informazioni,Altre informazioni
Cod. postale,34070
Prefisso,0481
Fuso orario,UTC+1
Codice ISTAT,031022
Cod. catastale,I479
Targa,GO
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 275 GG[4]"
Nome abitanti,(IT) savognesi (SL) Sovodenjci[5]
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Savogna d'Isonzo,Savogna d'Isonzo
Savogna d'Isonzo – MappaPosizione del comune di Savogna d'Isonzo nell'ex provincia di Gorizia,Savogna d'Isonzo – MappaPosizione del comune di Savogna d'Isonzo nell'ex provincia di Gorizia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
