San Pier d'Isonzo comune,San Pier d'Isonzo comune.1
,
"San Pier d'Isonzo – VedutaLa chiesa parrocchiale di San Pier d'Isonzo, dedicata a San Pietro","San Pier d'Isonzo – VedutaLa chiesa parrocchiale di San Pier d'Isonzo, dedicata a San Pietro"
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Gorizia
Amministrazione,Amministrazione
Sindaco,Denise Zucco (centro-sinistra) dal 15-04-2025
Territorio,Territorio
Coordinate,45°51′N 13°28′E
Altitudine,18 m s.l.m.
Superficie,"9,03 km²"
Abitanti,1 917[1] (30-11-2025)
Densità,"212,29 ab./km²"
Frazioni,"Cassegliano, San Zanut"
Comuni confinanti,"Fogliano Redipuglia, Ronchi dei Legionari, Ruda (UD), San Canzian d'Isonzo, Turriaco, Villesse"
Altre informazioni,Altre informazioni
Lingue,"italiano, veneto"
Cod. postale,34070
Prefisso,0481
Fuso orario,UTC+1
Codice ISTAT,031021
Cod. catastale,I082
Targa,GO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 268 GG[3]"
Nome abitanti,sampierini
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
San Pier d'Isonzo,San Pier d'Isonzo
San Pier d'Isonzo – MappaPosizione del comune di San Pier d'Isonzo nell'ex provincia di Gorizia,San Pier d'Isonzo – MappaPosizione del comune di San Pier d'Isonzo nell'ex provincia di Gorizia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
