Ronchi dei Legionari comune,Ronchi dei Legionari comune.1
(IT) Ronchi dei Legionari (SL) Ronke,(IT) Ronchi dei Legionari (SL) Ronke
,
Ronchi dei Legionari – VedutaIl municipio,Ronchi dei Legionari – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Gorizia
Amministrazione,Amministrazione
Sindaco,Mauro Benvenuto (centro-sinistra) dal 13-6-2022
Territorio,Territorio
Coordinate,45°50′N 13°30′E
Altitudine,7 m s.l.m.
Superficie,"17,11 km²"
Abitanti,11 888[1] (30-11-2025)
Densità,"694,8 ab./km²"
Frazioni,"San Lorenzo (Rione), Selz/Selc/Selce, San Vito/San Vit/Sveti Vid, Soleschiano/Solescian/Soleščan, Vermegliano/Vermean/Romjan"
Comuni confinanti,"Doberdò del Lago, Fogliano Redipuglia, Monfalcone, San Canzian d'Isonzo, San Pier d'Isonzo, Staranzano"
Altre informazioni,Altre informazioni
Lingue,"italiano, sloveno, veneto"
Cod. postale,34077
Prefisso,0481
Fuso orario,UTC+1
Codice ISTAT,031016
Cod. catastale,H531
Targa,GO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 255 GG[3]"
Nome abitanti,ronchesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Ronchi dei Legionari,Ronchi dei Legionari
Ronchi dei Legionari – MappaPosizione del comune di Ronchi dei Legionari nella ex provincia di Gorizia,Ronchi dei Legionari – MappaPosizione del comune di Ronchi dei Legionari nella ex provincia di Gorizia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
