San Lorenzo Isontino comune,San Lorenzo Isontino comune.1
(IT) San Lorenzo Isontino (FUR) San Lurinç LIsuntin [1],(IT) San Lorenzo Isontino (FUR) San Lurinç LIsuntin [1]
,
San Lorenzo Isontino – VedutaLa chiesa parrocchiale,San Lorenzo Isontino – VedutaLa chiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Gorizia
Amministrazione,Amministrazione
Sindaco,Ezio Clocchiatti (centro-sinistra) dal 27-5-2019
Territorio,Territorio
Coordinate,45°56′N 13°32′E
Altitudine,54 m s.l.m.
Superficie,"4,4 km²"
Abitanti,1 481[2] (30-11-2025)
Densità,"336,59 ab./km²"
Comuni confinanti,"Capriva del Friuli, Farra d'Isonzo, Moraro, Mossa"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,34070
Prefisso,0481
Fuso orario,UTC+1
Codice ISTAT,031020
Cod. catastale,H964
Targa,GO
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 279 GG[4]"
Nome abitanti,sanlorenzini
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
San Lorenzo Isontino,San Lorenzo Isontino
San Lorenzo Isontino – MappaPosizione del comune di San Lorenzo Isontino nell'ex provincia di Gorizia,San Lorenzo Isontino – MappaPosizione del comune di San Lorenzo Isontino nell'ex provincia di Gorizia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
