Medea comune,Medea comune.1
(IT) Medea (FUR) MIgjee [1],(IT) Medea (FUR) MIgjee [1]
,
Medea – VedutaAra pacis,Medea – VedutaAra pacis
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Gorizia
Amministrazione,Amministrazione
Sindaco,Igor Godeas (centrosinistra) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°55′N 13°25′E
Altitudine,30 m s.l.m.
Superficie,"7,36 km²"
Abitanti,954[2] (30-11-2025)
Densità,"129,62 ab./km²"
Comuni confinanti,"Chiopris-Viscone (UD), Cormons, Mariano del Friuli, Romans d'Isonzo, San Vito al Torre (UD)"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,34076
Prefisso,0481
Fuso orario,UTC+1
Codice ISTAT,031011
Cod. catastale,F081
Targa,GO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 289 GG[4]"
Nome abitanti,medeensi
Patrono,Santa Maria Assunta e Sant'Antonio da Padova
Giorno festivo,15 agosto e 13 giugno
Cartografia,Cartografia
Medea,Medea
Medea – MappaPosizione del comune di Medea nella provincia di Gorizia,Medea – MappaPosizione del comune di Medea nella provincia di Gorizia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
