Gradisca d'Isonzo comune,Gradisca d'Isonzo comune.1
(IT) Gradisca d'Isonzo (FUR) Gardiscje[1],(IT) Gradisca d'Isonzo (FUR) Gardiscje[1]
,
Gradisca d'Isonzo – VedutaVia Ciotti con palazzo Torriani (sede del municipio) sul lato sinistro ed in fondo la chiesa della Beata Vergine Addolorata.,Gradisca d'Isonzo – VedutaVia Ciotti con palazzo Torriani (sede del municipio) sul lato sinistro ed in fondo la chiesa della Beata Vergine Addolorata.
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Gorizia
Amministrazione,Amministrazione
Sindaco,Alessandro Pagotto (centro-sinistra) dal 10-6-2024
Territorio,Territorio
Coordinate,45°53′N 13°30′E
Altitudine,32 m s.l.m.
Superficie,"11,22 km²"
Abitanti,6 394[2] (30-11-2025)
Densità,"569,88 ab./km²"
Frazioni,nessuna
Comuni confinanti,"Farra d'Isonzo, Fogliano Redipuglia, Mariano del Friuli, Moraro, Romans d'Isonzo, Sagrado, Villesse"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,34072
Prefisso,0481
Fuso orario,UTC+1
Codice ISTAT,031008
Cod. catastale,E124
Targa,GO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 258 GG[4]"
Nome abitanti,gradiscani
Patrono,san Pietro e san Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Gradisca d'Isonzo,Gradisca d'Isonzo
Gradisca d'Isonzo – MappaPosizione del comune di Gradisca d'Isonzo nella ex provincia di Gorizia.,Gradisca d'Isonzo – MappaPosizione del comune di Gradisca d'Isonzo nella ex provincia di Gorizia.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
