Capriva del Friuli comune,Capriva del Friuli comune.1
(IT) Capriva del Friuli (FUR) Caprive [1],(IT) Capriva del Friuli (FUR) Caprive [1]
,
Capriva del Friuli – Veduta,Capriva del Friuli – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Gorizia
Amministrazione,Amministrazione
Sindaco,Daniele Sergon (centro-sinistra) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°56′51.18″N 13°30′40.95″E
Altitudine,49 m s.l.m.
Superficie,"6,32 km²"
Abitanti,1 574[2] (30-11-2025)
Densità,"249,05 ab./km²"
Comuni confinanti,"Cormons, Moraro, Mossa, San Floriano del Collio, San Lorenzo Isontino"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,34070
Prefisso,0481
Fuso orario,UTC+1
Codice ISTAT,031001
Cod. catastale,B712
Targa,GO
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 288 GG[4]"
Nome abitanti,caprivesi
Patrono,Santissimo Nome di Maria
Giorno festivo,12 settembre
Cartografia,Cartografia
Capriva del Friuli,Capriva del Friuli
Capriva del Friuli – MappaPosizione del comune di Capriva del Friuli nella ex provincia di Gorizia,Capriva del Friuli – MappaPosizione del comune di Capriva del Friuli nella ex provincia di Gorizia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
