Doberdò del Lago comune,Doberdò del Lago comune.1
(IT) Doberdò del Lago (SL) Doberdob,(IT) Doberdò del Lago (SL) Doberdob
,
Doberdò del Lago – VedutaChiesa parrocchiale di San Martino,Doberdò del Lago – VedutaChiesa parrocchiale di San Martino
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Gorizia
Amministrazione,Amministrazione
Sindaco,Peter Ferfoglia (Lista civica) dal 10-6-2024
Lingue ufficiali,"italiano, sloveno"
Territorio,Territorio
Coordinate,45°51′N 13°32′E
Altitudine,92 m s.l.m.
Superficie,"27,05 km²"
Abitanti,1 292[1] (30-11-2025)
Densità,"47,76 ab./km²"
Frazioni,"Devetachi/Devetaki, Jamiano/Jamlje, Palchisce/Palchišče"
Comuni confinanti,"Comeno (Komen) (SLO), Duino-Aurisina, Fogliano Redipuglia, Merna-Castagnevizza (Miren-Kostanjevica) (SLO), Monfalcone, Ronchi dei Legionari, Sagrado, Savogna d'Isonzo"
Altre informazioni,Altre informazioni
Cod. postale,34070
Prefisso,0481
Fuso orario,UTC+1
Codice ISTAT,031003
Cod. catastale,D312
Targa,GO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 365 GG[3]"
Nome abitanti,(IT) doberdobesi (SL) Doberdobci
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Doberdò del Lago,Doberdò del Lago
Doberdò del Lago – MappaPosizione del comune di Doberdò del Lago nella ex provincia di Gorizia,Doberdò del Lago – MappaPosizione del comune di Doberdò del Lago nella ex provincia di Gorizia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
