Ceglie Messapica comune,Ceglie Messapica comune.1
,
Ceglie Messapica – VedutaPanorama del centro storico di Ceglie Messapica,Ceglie Messapica – VedutaPanorama del centro storico di Ceglie Messapica
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Brindisi
Amministrazione,Amministrazione
Sindaco,Angelo Palmisano (FdI) dal 5-10-2020
Territorio,Territorio
Coordinate,40°39′N 17°31′E
Altitudine,298 m s.l.m.
Superficie,"132,02 km²"
Abitanti,18 380[1] (30-11-2025)
Densità,"139,22 ab./km²"
Comuni confinanti,"Francavilla Fontana, Martina Franca (TA), Ostuni, San Michele Salentino, Villa Castelli"
Altre informazioni,Altre informazioni
Cod. postale,72013
Prefisso,0831
Fuso orario,UTC+1
Codice ISTAT,074003
Cod. catastale,C424
Targa,BR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona D, 1 542 GG[3]"
Nome abitanti,cegliesi
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Ceglie Messapica,Ceglie Messapica
Ceglie Messapica – MappaPosizione del comune di Ceglie Messapica nella provincia di Brindisi,Ceglie Messapica – MappaPosizione del comune di Ceglie Messapica nella provincia di Brindisi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
