Cellino San Marco comune,Cellino San Marco comune.1
,
Cellino San Marco – Veduta,Cellino San Marco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Brindisi
Amministrazione,Amministrazione
Sindaco,Marco Marra (lista civica Uniti per Cellino) dal 4-10-2021
Territorio,Territorio
Coordinate,40°28′N 17°58′E
Altitudine,58 m s.l.m.
Superficie,"37,84 km²"
Abitanti,5 900[1] (30-11-2025)
Densità,"155,92 ab./km²"
Frazioni,Curtipitrizzi
Comuni confinanti,"Brindisi, Campi Salentina (LE), Guagnano (LE), San Donaci, San Pietro Vernotico, Squinzano (LE)"
Altre informazioni,Altre informazioni
Cod. postale,72020
Prefisso,0831
Fuso orario,UTC+1
Codice ISTAT,074004
Cod. catastale,C448
Targa,BR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 159 GG[3]"
Nome abitanti,cellinesi (in dialetto cilinari)
Patrono,"san Marco Evangelista, santa Caterina d'Alessandria"
Giorno festivo,25 aprile e 25 novembre
Cartografia,Cartografia
Cellino San Marco,Cellino San Marco
Cellino San Marco – MappaPosizione del comune di Cellino San Marco nella provincia di Brindisi,Cellino San Marco – MappaPosizione del comune di Cellino San Marco nella provincia di Brindisi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
