San Pancrazio Salentino comune,San Pancrazio Salentino comune.1
,
San Pancrazio Salentino – Veduta,San Pancrazio Salentino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Brindisi
Amministrazione,Amministrazione
Sindaco,Edmondo Moscatelli (lista civica San Pancrazio nella testa e nel cuore) dal 4-10-2021
Territorio,Territorio
Coordinate,40°25′N 17°50′E
Altitudine,62 m s.l.m.
Superficie,"55,93 km²"
Abitanti,8 956[1] (30-11-2025)
Densità,"160,13 ab./km²"
Comuni confinanti,"Avetrana (TA), Erchie, Mesagne, San Donaci, Torre Santa Susanna, Guagnano (LE), Salice Salentino (LE)"
Altre informazioni,Altre informazioni
Cod. postale,72026
Prefisso,0831
Fuso orario,UTC+1
Codice ISTAT,074015
Cod. catastale,I066
Targa,BR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 160 GG[3]"
Nome abitanti,sanpancraziesi sampancraziesi
Patrono,san Pancrazio martire
Giorno festivo,"11, 12 maggio"
Cartografia,Cartografia
San Pancrazio Salentino,San Pancrazio Salentino
San Pancrazio Salentino – MappaPosizione del comune di San Pancrazio Salentino nella provincia di Brindisi,San Pancrazio Salentino – MappaPosizione del comune di San Pancrazio Salentino nella provincia di Brindisi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
