Erchie comune,Erchie comune.1
,
Erchie – Veduta,Erchie – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Brindisi
Amministrazione,Amministrazione
Sindaco,Giuseppe Margheriti (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,40°26′N 17°44′E
Altitudine,68 m s.l.m.
Superficie,"44,63 km²"
Abitanti,8 050[1] (30-11-2025)
Densità,"180,37 ab./km²"
Comuni confinanti,"Avetrana (TA), Manduria (TA), Oria, San Pancrazio Salentino, Torre Santa Susanna"
Altre informazioni,Altre informazioni
Cod. postale,72020
Prefisso,0831
Fuso orario,UTC+1
Codice ISTAT,074006
Cod. catastale,D422
Targa,BR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 156 GG[3]"
Nome abitanti,"erchiesi, ercolani o erchiolani"
Patrono,"Sant'Irene (Patrona), Santa Lucia (Protettrice), San Giuseppe (Compatrono)"
Giorno festivo,"5 giugno, secondo giovedì dopo Pasqua, 18/19 marzo"
Cartografia,Cartografia
Erchie,Erchie
Erchie – MappaPosizione del comune di Erchie nella provincia di Brindisi,Erchie – MappaPosizione del comune di Erchie nella provincia di Brindisi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
