Torre Santa Susanna comune,Torre Santa Susanna comune.1
,
Torre Santa Susanna – VedutaLa chiesa di Crepacore,Torre Santa Susanna – VedutaLa chiesa di Crepacore
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Brindisi
Amministrazione,Amministrazione
Sindaco,Michele Saccomanno (lista civica) dal 12-6-2018 (2º mandato dal 17-5-2023)
Territorio,Territorio
Coordinate,40°28′N 17°44′E
Altitudine,72 m s.l.m.
Superficie,"55,77 km²"
Abitanti,10 049[1] (30-11-2025)
Densità,"180,19 ab./km²"
Comuni confinanti,"Erchie, Latiano, Mesagne, Oria, San Pancrazio Salentino,"
Altre informazioni,Altre informazioni
Cod. postale,72028
Prefisso,0831
Fuso orario,UTC+1
Codice ISTAT,074019
Cod. catastale,L280
Targa,BR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 176 GG[3]"
Nome abitanti,torresi
Patrono,"santa Susanna, Maria SS. di Galaso"
Giorno festivo,"11 agosto, 25 settembre"
Cartografia,Cartografia
Torre Santa Susanna,Torre Santa Susanna
Torre Santa Susanna – MappaPosizione del comune di Torre Santa Susanna nella provincia di Brindisi,Torre Santa Susanna – MappaPosizione del comune di Torre Santa Susanna nella provincia di Brindisi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
