Carovigno comune,Carovigno comune.1
,
Carovigno – Veduta,Carovigno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Brindisi
Amministrazione,Amministrazione
Sindaco,Massimo Vittorio Lanzilotti (liste civiche di centro-sinistra) dal 10-6-2018 (2º mandato dal 5-6-2023)
Territorio,Territorio
Coordinate,40°42′26″N 17°39′34″E
Altitudine,161 m s.l.m.
Superficie,"106,62 km²"
Abitanti,17 052[1] (30-11-2025)
Densità,"159,93 ab./km²"
Frazioni,"marine: Scoglio degli Achei, Morgicchio, Pantanagianni, Specchiolla, Torre Guaceto, Torre Santa Sabina; borgate: Serranova"
Comuni confinanti,"Brindisi, Ostuni, San Vito dei Normanni"
Altre informazioni,Altre informazioni
Cod. postale,72012
Prefisso,0831
Fuso orario,UTC+1
Codice ISTAT,074002
Cod. catastale,B809
Targa,BR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 320 GG[3]"
Nome abitanti,carovignesi
Patrono,"Maria Ss. di Belvedere, santi Giacomo e Filippo"
Giorno festivo,"lunedì dell'Angelo, 17 agosto"
Cartografia,Cartografia
Carovigno,Carovigno
Carovigno – MappaPosizione del comune di Carovigno nella provincia di Brindisi,Carovigno – MappaPosizione del comune di Carovigno nella provincia di Brindisi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
