San Michele Salentino comune,San Michele Salentino comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Brindisi
Amministrazione,Amministrazione
Sindaco,Giovanni Allegrini (lista civica) dal 11-6-2017 (2º mandato dal 14-6-2022)
Data di istituzione,25 ottobre 1928
Territorio,Territorio
Coordinate,40°38′N 17°38′E
Altitudine,153 m s.l.m.
Superficie,"26,53 km²"
Abitanti,6 005[1] (30-11-2025)
Densità,"226,35 ab./km²"
Frazioni,Borgo Ajeni
Comuni confinanti,"Ceglie Messapica, Francavilla Fontana, Latiano, Ostuni, San Vito dei Normanni"
Altre informazioni,Altre informazioni
Cod. postale,72018
Prefisso,0831
Fuso orario,UTC+1
Codice ISTAT,074014
Cod. catastale,I045
Targa,BR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 307 GG[3]"
Nome abitanti,sammichelani
Patrono,san Michele Arcangelo
Giorno festivo,"8 maggio, ma la ""festa grande"" si svolge solitamente nella prima metà di agosto."
Cartografia,Cartografia
San Michele Salentino,San Michele Salentino
San Michele Salentino – MappaPosizione del comune di San Michele Salentino nella provincia di Brindisi,San Michele Salentino – MappaPosizione del comune di San Michele Salentino nella provincia di Brindisi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
