Mesagne comune,Mesagne comune.1
,
Mesagne – Veduta,Mesagne – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Brindisi
Amministrazione,Amministrazione
Sindaco,Maria Antonietta Olivieri (commissario straordinario) dal 17-11-2025
Territorio,Territorio
Coordinate,40°34′N 17°48′E
Altitudine,72 m s.l.m.
Superficie,"124,05 km²"
Abitanti,25 759[1] (30-11-2025)
Densità,"207,65 ab./km²"
Sottodivisioni ulteriori,"Torretta, Capece, Muro Tenente, Chiancaro, Cavallino, Pignatella, Corti vecchie, Santo Stefano, Gioia, Muri, Castellana, Tobiano, Cerrito, Canali, Palmitella, Laviano, Vergine, Cavaliere, Caracciolo, Maria delle Grazie, Annunziata, Verardi, Ferrizzulo."
Comuni confinanti,"Brindisi, Latiano, Oria, San Donaci, San Pancrazio Salentino, Torre Santa Susanna"
Altre informazioni,Altre informazioni
Cod. postale,72023
Prefisso,0831
Fuso orario,UTC+1
Codice ISTAT,074010
Cod. catastale,F152
Targa,BR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 237 GG[3]"
Nome abitanti,mesagnesi
Patrono,Madonna del Carmine
Giorno festivo,"15, 16, 17 luglio"
Cartografia,Cartografia
Mesagne,Mesagne
Mesagne – MappaPosizione del comune di Mesagne nella provincia di Brindisi,Mesagne – MappaPosizione del comune di Mesagne nella provincia di Brindisi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
