Cisternino comune,Cisternino comune.1
,
"Cisternino – Veduta""Torre Civica"" - Torre Normanno Sveva XII-XIII secolo","Cisternino – Veduta""Torre Civica"" - Torre Normanno Sveva XII-XIII secolo"
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Brindisi
Amministrazione,Amministrazione
Sindaco,Lorenzo Perrini (PSI) dal 4-10-2021
Territorio,Territorio
Coordinate,40°45′N 17°25′E
Altitudine,394 m s.l.m.
Superficie,"54,17 km²"
Abitanti,10 959[1] (30-11-2025)
Densità,"202,31 ab./km²"
Frazioni,"Casalini, Caranna, Sisto, Figazzano, Marinelli, Tanzarella"
Comuni confinanti,"Fasano, Locorotondo (BA), Martina Franca (TA), Ostuni"
Altre informazioni,Altre informazioni
Cod. postale,72014
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,074005
Cod. catastale,C741
Targa,BR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona D, 1 590 GG[3]"
Nome abitanti,cistranesi
Patrono,"santi Quirico e Giulitta, san Nicola di Bari (co-patrono)"
Giorno festivo,"prima domenica di agosto, 6 dicembre"
Cartografia,Cartografia
Cisternino,Cisternino
Cisternino – MappaPosizione del comune di Cisternino nella provincia di Brindisi,Cisternino – MappaPosizione del comune di Cisternino nella provincia di Brindisi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
