San Dònaci comune,San Dònaci comune.1
,
San Dònaci – Veduta,San Dònaci – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Brindisi
Amministrazione,Amministrazione
Sindaco,Giancarlo Miccoli (lista civica di centro-sinistra) dal 15-5-2023
Territorio,Territorio
Coordinate,40°27′N 17°55′E
Altitudine,42 m s.l.m.
Superficie,"34,04 km²"
Abitanti,6 058[1] (30-11-2025)
Densità,"177,97 ab./km²"
Comuni confinanti,"Brindisi, Cellino San Marco, Guagnano (LE), Mesagne, San Pancrazio Salentino"
Altre informazioni,Altre informazioni
Cod. postale,72025
Prefisso,0831
Fuso orario,UTC+1
Codice ISTAT,074013
Cod. catastale,H822
Targa,BR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 133 GG[3]"
Nome abitanti,"sandonacesi, sandonaciari (in dialetto locale)"
Patrono,"santa Maria delle Grazie, san Vincenzo Ferrer"
Giorno festivo,5 agosto
Cartografia,Cartografia
San Dònaci,San Dònaci
San Dònaci – MappaPosizione del comune di San Donaci nella provincia di Brindisi,San Dònaci – MappaPosizione del comune di San Donaci nella provincia di Brindisi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
